name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
Alvernia University,51%,"$41,900 USD",12:1,100%,"$24,184 USD",,74.3%,1470,"Reading, Pennsylvania",1470,"2,856",3567,Alvernia-University
Framingham State University,51%,"$45,000 USD",15:1,85%,"$18,027 USD",,70.8%,1455,"Framingham, Massachusetts",1455,"6,398",1922,Framingham-State-University
South Dakota School of Mines and Technology,45%,"$50,600 USD",15:1,92%,"$17,925 USD",,84.2%,1762,"Rapid City, South Dakota",1762,"3,230",3951,South-Dakota-School-of-Mines-and-Technology
Ursuline College,50%,"$42,300 USD",6:1,100%,"$15,034 USD",,88.0%,1485,"Pepper Pike, Ohio",1485,"1,178",3408,Ursuline-College
Fitchburg State University,50%,"$40,500 USD",14:1,90%,"$12,833 USD",,74.8%,1470,"Fitchburg, Massachusetts",1470,"6,598",1921,Fitchburg-State-University
University of Saint Francis-Fort Wayne,51%,"$39,200 USD",11:1,100%,"$16,751 USD",,95.3%,1440,"Fort Wayne, Indiana",1440,"2,240",1412,University-of-Saint-Francis-Fort-Wayne
The University of Tennessee-Martin,46%,"$35,600 USD",16:1,98%,"$8,288 USD",,69.6%,,"Martin, Tennessee",,"6,827",4052,The-University-of-Tennessee-Martin
Alice Lloyd College,32%,"$33,500 USD",17:1,99%,"$13,405 USD",,35.1%,1425,"Pippa Passes, Kentucky",1425,616,1582,Alice-Lloyd-College
Delaware Valley University,57%,"$39,500 USD",15:1,100%,"$27,658 USD",,68.7%,1465,"Doylestown, Pennsylvania",1465,"2,266",3613,Delaware-Valley-University
Lawrence Technological University,49%,"$53,700 USD",12:1,94%,"$26,248 USD",,55.3%,1570,"Southfield, Michigan",1570,"3,516",2078,Lawrence-Technological-University
Lander University,52%,"$33,600 USD",14:1,98%,"$13,038 USD",,62.0%,1356,"Greenwood, South Carolina",1356,"2,701",3899,Lander-University
University of New England,58%,"$44,500 USD",13:1,100%,"$32,175 USD",,85.1%,1580,"Biddeford, Maine",1580,"7,794",1790,University-of-New-England
Emmanuel College-Franklin Springs,45%,"$31,200 USD",12:1,100%,"$14,804 USD",,33.9%,1395,"Franklin Springs, Georgia",1395,884,1015,Emmanuel-College-Franklin-Springs
University of Alabama in Huntsville,48%,"$45,500 USD",16:1,91%,"$13,737 USD",,81.2%,1800,"Huntsville, Alabama",1800,"7,866",5,University-of-Alabama-in-Huntsville
California State University-Stanislaus,52%,"$43,400 USD",22:1,90%,"$7,387 USD",,70.6%,1380,"Turlock, California",1380,"9,282",257,California-State-University-Stanislaus
Lee University,53%,"$33,200 USD",17:1,96%,"$18,139 USD",,85.5%,1560,"Cleveland, Tennessee",1560,"5,041",4005,Lee-University
California Baptist University,58%,"$40,300 USD",18:1,96%,"$26,548 USD",,65.4%,1425,"Riverside, California",1425,"8,541",248,California-Baptist-University
Alderson Broaddus University,45%,"$46,000 USD",17:1,100%,"$17,641 USD",,53.7%,1415,"Philippi, West Virginia",1415,"1,154",4530,Alderson-Broaddus-University
Medaille College,50%,"$37,900 USD",16:1,97%,"$12,984 USD",,69.2%,1290,"Buffalo, New York",1290,"2,112",2844,Medaille-College
University of Louisiana at Lafayette,45%,"$37,300 USD",23:1,95%,"$9,065 USD",,55.3%,1582,"Lafayette, Louisiana",1582,"17,508",1755,University-of-Louisiana-at-Lafayette
University of Southern Mississippi,45%,"$35,900 USD",17:1,98%,"$12,055 USD",,58.0%,1511,"Hattiesburg, Mississippi",1511,"14,551",2279,University-of-Southern-Mississippi
Hartwick College,57%,"$41,800 USD",11:1,100%,"$25,095 USD",,80.8%,1660,"Oneonta, New York",1660,"1,393",2795,Hartwick-College
Cleary University,36%,"$46,900 USD",11:1,100%,"$10,615 USD",,72.3%,,"Howell, Michigan",,545,2037,Cleary-University
University of Puerto Rico-Carolina,52%,,24:1,85%,"$6,410 USD",,26.5%,1503,"Carolina, Puerto Rico",1503,"3,796",4732,University-of-Puerto-Rico-Carolina
SUNY Buffalo State,49%,"$38,100 USD",16:1,95%,"$11,464 USD",,62.3%,1350,"Buffalo, New York",1350,"10,330",2966,SUNY-Buffalo-State
Midway University,48%,"$36,700 USD",15:1,100%,"$20,545 USD",,45.6%,1580,"Midway, Kentucky",1580,"1,055",1631,Midway-University
Seton Hill University,61%,"$35,900 USD",14:1,100%,"$22,784 USD",,76.4%,1530,"Greensburg, Pennsylvania",1530,"2,359",3797,Seton-Hill-University
Milligan College,52%,,9:1,100%,"$19,460 USD",,65.2%,1608,"Johnson City, Tennessee",1608,"1,193",36532,Milligan-College
Point Park University,50%,"$36,600 USD",13:1,98%,"$22,461 USD",,70.5%,1475,"Pittsburgh, Pennsylvania",1475,"3,844",3776,Point-Park-University
Cardinal Stritch University,50%,"$48,500 USD",11:1,99%,"$18,417 USD",,76.9%,1523,"Milwaukee, Wisconsin",1523,"3,176",4591,Cardinal-Stritch-University
Montana Tech of the University of Montana,48%,"$40,600 USD",15:1,90%,"$11,764 USD",,88.8%,1645,"Butte, Montana",1645,"2,130",2444,Montana-Tech-of-the-University-of-Montana
Chatham University,50%,"$33,400 USD",10:1,100%,"$21,066 USD",,54.8%,1569,"Pittsburgh, Pennsylvania",1569,"2,224",3600,Chatham-University
The University of the Arts,64%,"$29,800 USD",8:1,99%,"$35,019 USD",,73.7%,1555,"Philadelphia, Pennsylvania",1555,"1,876",3760,The-University-of-the-Arts
