College Name, Twitter Handle
KCTCS , KCTCS
SFTS , SanFranSeminary
ECC West Campus , ECCWest
Penn State Hershey , PennStHershey
Texas A&M-Kingsville , JavelinaNation
Columbus State , cscc_edu
Missouri Baptist U , MoBaptistU
North Hennepin C.C. , NorthHennepin
Robert Morris IL , RobertMorrisU
Southeastern Bible , SEBCOfficial
Hartwick College , HartwickCollege
BGSP , BGSPsyA
ECU , EastCarolina
LakelandCommunityCol , LakelandCommCol
Manchester University , ManchesterUniv
UC Berkeley , UCBerkeley
Queens College|CUNY , QC_News
MN State Mankato , MNSUMankato
Sweet Briar College , Sweetbriaredu
Tabor College , TaborCollege
Mount Marty College , mountmarty
Univ.ofNorthFlorida , UofNorthFlorida
Lake Forest College , LFCollege
ASU Mid-South , asumidsouth
Craven Comm. College , cravencc
Holy Names Univ. , HolyNamesUniv
Paine College , PaineCollege
Framingham State , FraminghamU
Asbury University , AsburyUniv
NPS Monterey , NPS_Monterey
David Henahan , SUNYEmpireState
WMU-Cooley , WMUcooleylaw
KCU Knights , knightskcu
UPR Cayey Viva , uprcayey
The Citadel , Citadel1842
Harding University , HardingU
West Chester U , WCUofPA
ASU Downtown Phoenix , asudpc
U. of New Orleans , UofNO
Marywood University , MarywoodU
New Orleans Seminary , NOBTS
U. of Saint Joseph , USJCT
TidewaterCommCollege , TCCva
WVU Tech , WVU_Tech
Pensacola State , PensacolaState
Union Pres. Seminary , UPSeminary
DCCC , davidsonccc
NorthernEssexCC , NorthernEssex
Kansas Wesleyan , goKWU
Folsom Lake College , flcfalcons
Pacific Oaks College , pacificoaks
Molloy College , MolloyCollege
Bennett College , BennettCollege
Wiregrass Tech , wiregrasstech
Cabrillo College , CabrilloCollege
Athens State , AthensState
VCU , VCU
CTS Chicago , CTS_Chicago
Florida State University , floridastate
WGU Indiana , WGUIndiana
CapTechU , captechu
MCTC , MCTCtweets
Saint Paul College , StPaulCollege
Barry University , BarryUniversity
Maine College of Art , mecaart
St. John's College , stjohnscollege
Alabama State , alabamastateu
Maine Law , UMaineLaw
IUPUC , IUPUC
Nebraska Christian , nechristian
UW-River Falls , UWRiverFalls
A&M-Texarkana , TAMUTexarkana
BerkCommunityCollege , BerkshireCC
LSU Health Shreveport , LSUHS
VanderCook , VanderCook
USF St Petersburg , USFSPevents
Henderson State U , HendersonStateU
College of St Rose , CollegeofStRose
Aquinas Institute , aitheology
Wesley College , WesleyCollegeDE
Nebraska Wesleyan , NEWesleyan
Inter de Aguadilla , InterAguadilla
OHIO U Lancaster , ohiou_lancaster
Spike the Whale , uas_news
UNK , UNKearney
HCC Northeast , HCC_Northeast
NAUniversity , NatAmericanU
SCC IOWA , scciowa
American Public U , AmericanPublicU
Stockton University , Stockton_edu
Widener University , WidenerUniv
Hendrix College , hendrixcollege
NECB , NECBedu
Franciscan School , TFSRaleigh
UA Fairbanks , uafairbanks
HVCC , HudsonValleyCC
UC Blue Ash College , UCBlueAsh
Southwest Tech , swtc
Hartford Seminary , HartSem
American Military U , AmericanMilU
Truman State University , TrumanState
UChicago , UChicago
Wells College , wellscollege
UPR Ciencias Médicas , rcmupr
Rowan-Cabarrus CC , RCCCedu
Trevecca University , Trevecca
Touro University TUW , TouroUniversity
Univ. of the Potomac , UOTPotomac
OCC , OCCollege
Samford University , SamfordU
Avila University , AvilaUniversity
IU South Bend , IUSouthBend
MoodyBible Institute , Moody_Bible
Syracuse University , SyracuseU
Clark College , ClarkCollege
Livingstone College , Livingstone1879
Susquehanna U , SusquehannaU
Everett CC , EverettCC
TheLA9 , TheLA9
Saybrook University , SaybrookU
Alma College , almacollege
SC STATE UNIVERSITY , SCSTATE1896
Concordia College NY , Concordiany
CUNY , CUNY
UPR , UPR_Oficial
LBC | Capital , lancasterbible
Cuesta College , Cuesta_College
Penn State , penn_state
McPherson College , Mac_College
Worcester State , WorcesterState
A&M-San Antonio , TAMUSanAntonio
University of Mobile , umobilenews
ITC , elearning10
Montana Western , MontanaWestern
Chowan University , ChowanU
MCC Admissions , MCCNHAdmit
IAUPR Optometry , iau_optoschool
Marion Military Inst , MarionMilitary
ITC , ITC_AACC
Stillman College , StillmanPride
St Charles Community , StCComm
UNW , NorthwesternMN
Lehman College , LehmanCollege
Jackson College , JacksonCollege
Northern Seminary , nseminary
A-B Tech , abtech_cc
Tri-County Technical College , tctcedu
NashuaCC , Nashua_Online
SFCM , SFConservMusic
The Juilliard School , JuilliardSchool
BYU–Hawaii , byuhawaii
InterBayamon , InterBayamon
Centralia College , CCBlazers
Benedictine College , BenedictineKS
Moreno Valley College , mvcollege
NaugatuckValley (NV) , NaugatuckValley
TCC , GoToTCC
Central Michigan U. , CMUniversity
Salish Kootenai Coll , skcollege
Morehouse College , Morehouse
Graceland University , GracelandU
The King's College , TheKingsCollege
UMaine-Machias , UMaineMachias
MUIH , MUIHealth
Briar Cliff , briar_cliff
HCCC , HudsonCCC
Rhode Island College , RICNews
UTChattanooga , UTChattanooga
Univ of South Dakota , usd
Kentucky State U. , KyStateU
LCCC , lorainccc
RRCC , rrccedu
Hastings College , HastingsCollege
FIT , FIT
Chadron State , chadronstate
PacificSchReligion , psrberkeley
University of Houston , UHouston
Bay Path University , Bay_Path
Northeast Iowa CC , NEiowaCC
Texas Wesleyan , TexasWesleyan
JSRCC VC , jsrccvc
TheBAC , TheBACBoston
Soka University , SokaUniv
Fisher News , FisherNews
Youngstown State University , youngstownstate
Tri-C , TriCedu
Vance-Granville CC , VanceGranville
Boston University , BU_Tweets
Millikin University , MillikinU
Belhaven University , BelhavenU
StateCollegeFlorida , SCFnow
UHDowntown , uhdowntown
Spalding University , SpaldingU
SUNY Ulster , SUNYUlster
Valley Forge , UValleyForge
MSMC , msmc_events
Saint Louis University , SLU_Official
WKCTC , WKCTC
CCRC , CommunityCCRC
Merced College , mercedcollege
UMUC , UMUC
Clayton State , ClaytonState
Yuba College , DustyNiner
Oglethorpe U , OglethorpeUniv
Great Basin College , gbcnevada
Vermont Law School , VTLawSchool
Embry-Riddle Univ , EmbryRiddle
University of Alaska , UA_System
